OTU ID	FC4	FC8	FC2	FT4	FT3	FT7	FT2	FC5	FT5	FT1	FC7	FC6	FC3	FT6	FC1
denovo63	0.0	0.000165878742639	0.0	0.0	0.000663514970557	0.000165878742639	0.00866716430289	0.00327610516712	0.00588869536369	0.000912333084515	0.0	0.00174172679771	0.0	0.0	0.0
denovo62	0.00916480053081	0.00522518039313	0.00505930165049	0.000331757485278	0.00311022642448	0.000248818113959	0.00949655801609	0.00323463548146	0.00107821182715	0.00145143899809	0.00136849962677	0.00269552956789	0.000539105913577	4.14696856598e-05	0.0
denovo61	0.000331757485278	0.00182466616903	0.000995272455835	0.00671808907688	0.00145143899809	4.14696856598e-05	0.00787924027536	0.00389815045202	0.00207348428299	0.000414696856598	0.000746454341876	0.000995272455835	4.14696856598e-05	0.0	4.14696856598e-05
denovo60	0.00281993862487	0.00651074064859	0.0029858173675	0.00182466616903	0.000580575599237	0.0194907522601	0.00215642365431	0.00933067927345	0.00617898316331	0.00580575599237	0.00493489259351	0.0172928589201	0.00335904453844	0.00410549888032	0.00211495396865
denovo67	0.000704984656216	0.00252965082525	0.00161731774073	0.000373227170938	0.0031931657958	0.000912333084515	0.00281993862487	0.00157584805507	0.00277846893921	0.00145143899809	0.000497636227917	0.00563987724973	0.0151779049515	0.00103674214149	0.000953802770175
denovo66	0.0100356639297	0.0	0.0120262088413	0.000704984656216	0.0	0.00651074064859	0.00207348428299	0.0	0.00286140831053	0.000580575599237	0.0	0.0	0.00228083271129	0.00111968151281	0.00369080202372
denovo65	0.0	0.000165878742639	0.000539105913577	0.0128556025545	0.0	0.0	0.00547399850709	0.0	0.00655221033425	0.0	0.0	8.29393713196e-05	0.0	0.0	0.0
denovo64	0.000622045284897	0.00816952807498	0.0	0.00157584805507	0.00194907522601	4.14696856598e-05	0.000414696856598	0.000622045284897	0.000207348428299	0.000622045284897	0.00418843825164	0.000456166542258	0.0	0.0	0.0
denovo334	0.000248818113959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo335	0.0	0.0	0.0	0.0	0.0	0.0	0.000331757485278	8.29393713196e-05	0.0	0.0	0.0	0.000207348428299	0.0	0.0	0.0
denovo336	0.000497636227917	0.00257112051091	0.000331757485278	0.00174172679771	0.000746454341876	8.29393713196e-05	0.0133532387825	0.00265405988223	0.0109479970142	0.00136849962677	0.000746454341876	0.000787924027536	0.000331757485278	0.0	0.0
denovo337	8.29393713196e-05	0.000912333084515	0.000912333084515	0.00111968151281	0.0	0.0	0.00128556025545	0.00269552956789	0.000331757485278	0.0	8.29393713196e-05	0.000373227170938	0.0	0.000207348428299	0.0
denovo330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.14696856598e-05	0.000124409056979	8.29393713196e-05
denovo238	0.0	0.0	0.000414696856598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000290287799618	0.0	4.14696856598e-05
denovo332	0.0	0.0	0.0	0.0	0.0	0.0	0.000248818113959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo333	0.000663514970557	0.0	0.000124409056979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.14696856598e-05
denovo235	0.000622045284897	4.14696856598e-05	0.000124409056979	0.0	0.0	0.0	0.0	0.000622045284897	0.0	0.0	0.0	8.29393713196e-05	0.0	0.0	0.0
denovo234	4.14696856598e-05	0.000124409056979	0.0	0.0	0.0	0.0	0.000746454341876	0.000207348428299	0.000290287799618	0.000207348428299	0.0	4.14696856598e-05	0.0	0.0	0.0
denovo237	0.000622045284897	0.0	0.0	0.000539105913577	0.0	4.14696856598e-05	4.14696856598e-05	0.000331757485278	8.29393713196e-05	0.0	4.14696856598e-05	0.0	8.29393713196e-05	0.0	0.0
denovo236	0.0	0.0	0.0	0.0	0.00140996931243	0.0	4.14696856598e-05	0.0	0.0	0.0	0.0	0.0	4.14696856598e-05	0.0	0.0
denovo338	0.000290287799618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo339	0.0	0.0	0.0	0.0	0.000456166542258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo233	0.0	0.000580575599237	0.0	4.14696856598e-05	0.000912333084515	0.0	0.000290287799618	0.0	8.29393713196e-05	0.0	0.0	0.0	0.0	0.0	0.0
denovo232	0.00286140831053	0.0	4.14696856598e-05	0.000207348428299	0.00120262088413	8.29393713196e-05	0.000207348428299	0.000165878742639	4.14696856598e-05	0.0	4.14696856598e-05	0.000912333084515	0.000207348428299	8.29393713196e-05	0.0
denovo198	0.0	0.0	0.0	0.0	0.00128556025545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo199	0.00182466616903	0.0	0.0	0.00132702994111	0.000622045284897	8.29393713196e-05	0.000373227170938	0.0	0.000414696856598	0.000165878742639	0.0	0.0	0.000124409056979	0.0	0.0
denovo190	0.0	0.0	0.0	0.0	4.14696856598e-05	0.0	0.000663514970557	0.0	0.0	0.000539105913577	0.0	0.0	0.0	0.0	0.0
denovo191	0.0029858173675	0.0	0.000331757485278	0.000165878742639	0.0	0.00132702994111	0.000248818113959	0.000829393713196	0.00182466616903	8.29393713196e-05	8.29393713196e-05	0.000787924027536	4.14696856598e-05	0.000870863398855	4.14696856598e-05
denovo192	0.00136849962677	0.0	0.0	8.29393713196e-05	0.0	0.0	0.000290287799618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo193	0.000373227170938	0.000248818113959	0.000207348428299	0.0	0.0	0.0	0.0	0.000165878742639	0.0	0.0	4.14696856598e-05	0.000124409056979	4.14696856598e-05	0.0	4.14696856598e-05
denovo194	0.00140996931243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000207348428299	0.0
denovo195	0.0	0.0	0.0	0.0	0.00261259019657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.14696856598e-05	0.0
denovo196	0.0	0.0	0.000248818113959	8.29393713196e-05	0.0	0.0	0.000497636227917	0.0	0.000870863398855	0.0	0.0	0.0	0.000248818113959	0.0	0.0
denovo197	0.00223936302563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo350	0.00140996931243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.14696856598e-05
denovo341	0.0	0.0	4.14696856598e-05	0.0	0.0	0.000165878742639	0.0	0.0	0.0	0.0	4.14696856598e-05	0.000207348428299	0.0	4.14696856598e-05	0.0
denovo340	0.000290287799618	0.0	0.0	0.0	0.000124409056979	0.0	0.0	0.0	0.0	0.0	0.0	4.14696856598e-05	0.0	0.000248818113959	0.0
